othr_rel_aust_abor_trad_rel_m, christianity_orintal_orthdx_p, othr_rel_aust_abor_trad_rel_p, christianity_orintal_orthdx_m, islam_m, sb_osb_nra_tot_f, islam_p, christianity_orintal_orthdx_f, islam_f, othr_rel_sikhism_f, othr_rel_aust_abor_trad_rel_f, othr_rel_sikhism_p, othr_rel_sikhism_m, sb_osb_nra_tot_p, sb_osb_nra_tot_m, other_religions_tot_p, other_religions_tot_m, other_religions_tot_f, christianity_uniting_church_f, tot_f, tot_m, tot_p, christianity_christian_nfd_p, christianity_eastrn_orthdox_m, christianity_eastrn_orthdox_p, christianity_salvation_army_p, othr_reln_other_reln_groups_f, christianity_christian_nfd_m, christianity_eastrn_orthdox_f, christianity_salvation_army_m, christianity_salvation_army_f, christianity_christian_nfd_f, christianity_othr_protestnt_p, othr_reln_other_reln_groups_m, christianity_othr_christian_f, othr_reln_other_reln_groups_p, christianity_church_christ_p, christianity_church_christ_m, christianity_othr_protestnt_m, christianity_othr_protestnt_f, christianity_church_christ_f, christianity_lutheran_p, christianity_lattr_day_snts_m, christianity_baptist_p, christianity_lattr_day_snts_f, christianity_baptist_m, christianity_baptist_f, christianity_pentecostal_f, christianity_othr_christian_m, christianity_tot_p, christianity_lattr_day_snts_p, christianity_othr_christian_p, christianity_catholic_f, christianity_lutheran_f, christianity_lutheran_m, christianity_asyrin_apstlic_p, christianity_anglican_f, sb_osb_nra_sb_m, christnty_sevnth_dy_advntst_f, sb_osb_nra_sb_p, sa3_code16, christianity_brethren_f, christianity_brethren_p, christianity_catholic_m, hinduism_m, christianity_catholic_p, hinduism_p, christianity_brethren_m, christianity_tot_m, hinduism_f, christnty_sevnth_dy_advntst_p, christianity_tot_f, christnty_sevnth_dy_advntst_m, sb_osb_nra_sb_f, christianity_anglican_m, christianity_anglican_p, religious_affiliation_ns_f, buddhism_f, christinty_prsbytrin_refrmd_f, christinty_jehvahs_witnses_f, buddhism_m, buddhism_p, christinty_jehvahs_witnses_m, christinty_jehvahs_witnses_p, judaism_f, sb_osb_nra_nr_f, christianity_uniting_church_m, christianity_uniting_church_p, judaism_p, christinty_prsbytrin_refrmd_p, judaism_m, christinty_prsbytrin_refrmd_m, christianity_asyrin_apstlic_f, sb_osb_nra_nr_p, christianity_asyrin_apstlic_m, sb_osb_nra_nr_m, sb_osb_nra_osb_f, christianity_pentecostal_m, religious_affiliation_ns_p, sb_osb_nra_osb_m, christianity_pentecostal_p, religious_affiliation_ns_m, sa3_name16, sb_osb_nra_osb_p
5,22,11,13,90,5672,163,9,73,37,6,70,30,12197,6522,235,98,137,2075,29346,28264,57614,1366,103,193,134,92,656,87,68,68,713,519,57,11,150,50,28,261,264,25,122,21,828,21,404,429,350,11,39497,42,23,8757,76,50,0,6713,54,74,102,"10304",176,332,8101,142,16857,280,157,18735,140,130,20763,52,50,5930,12646,2370,185,851,61,135,321,54,115,5,5590,1752,3826,13,1640,5,790,0,12040,0,6448,33,281,4909,17,633,2535,"Orange",52
15,8,17,3,25,6266,43,0,18,28,6,50,25,13414,7144,202,82,121,1018,25357,24907,50261,937,39,78,248,88,456,36,121,129,478,136,46,11,131,4,3,60,78,0,110,33,669,40,324,349,164,12,30951,80,21,5281,65,47,0,6823,69,80,114,"10401",5,5,4797,37,10084,69,0,14640,34,130,16314,45,44,6132,12958,2395,199,1560,183,146,351,158,338,9,6177,824,1841,13,3028,4,1466,0,13216,0,7048,48,122,5229,37,281,2833,"Clarence Valley",84
22,28,42,17,249,13585,481,14,230,623,21,1320,695,28284,14700,1683,831,854,1702,44344,41677,86021,2139,88,204,210,205,930,113,88,125,1210,303,113,67,325,62,29,121,181,31,219,45,1315,58,623,685,725,55,45513,104,115,8563,119,93,0,8937,149,146,275,"10402",6,10,7488,141,16049,256,0,20909,117,260,24607,113,121,7687,16627,4323,594,1647,275,393,984,221,497,36,13318,1317,3018,82,3066,49,1418,0,27781,0,14462,146,579,8726,89,1303,4407,"Coffs Harbour",230
21,11,32,8,48,1919,97,6,45,3,17,6,3,4307,2384,64,35,30,443,11834,12314,24152,321,50,87,26,12,147,34,16,14,180,51,14,6,26,6,3,23,23,3,68,13,212,11,105,106,44,7,16052,26,16,3662,26,41,0,3027,9,14,18,"10501",15,19,3614,32,7277,73,11,7949,45,50,8107,32,6,2934,5960,1640,48,446,34,25,75,32,64,0,1896,416,861,0,914,0,474,0,4255,0,2359,15,34,3488,13,76,1842,"Bourke - Cobar - Coonamble",28
10,15,16,4,25,3222,40,7,12,3,4,5,3,6886,3657,55,28,31,1038,10251,9965,20217,314,27,55,198,18,156,30,77,124,162,177,15,7,35,34,19,71,103,19,193,18,209,32,92,112,53,0,10785,50,5,2520,113,79,0,1336,28,17,41,"10502",0,0,2277,27,4796,44,0,4975,17,35,5812,17,16,1232,2563,1096,54,117,22,44,98,10,38,3,3196,743,1779,8,233,7,112,0,6825,0,3628,10,36,2311,3,86,1209,"Broken Hill and Far West",17
37,46,67,26,153,5814,266,18,111,33,28,85,49,12556,6742,266,136,131,2055,35213,34198,69414,1296,103,199,230,64,618,100,98,126,679,160,51,14,115,46,24,90,74,29,273,23,1120,22,521,599,362,10,47789,46,29,10169,149,119,3,8971,48,162,97,"10503",3,3,9059,239,19227,481,0,22564,237,291,25229,126,48,8166,17137,3465,213,1590,97,152,369,81,171,15,5722,1670,3726,27,3125,9,1533,0,12392,0,6668,39,302,7656,29,672,4191,"Dubbo",72
8,15,15,11,78,10239,128,3,51,10,9,31,20,21909,11677,271,109,158,2468,43765,43911,87675,1482,87,161,353,139,694,74,159,191,788,463,81,47,222,31,15,221,245,15,133,95,1150,106,555,595,311,45,55738,199,96,9489,73,56,0,12608,135,157,232,"10601",67,135,9059,91,18546,174,74,26830,85,305,28907,143,97,11665,24277,3997,306,1530,145,203,512,102,250,18,10066,2113,4583,28,2969,18,1438,0,21556,0,11491,71,290,8910,49,594,4913,"Lower Hunter",125
10,17,16,8,155,8429,281,9,129,55,9,108,51,18014,9581,289,117,175,2061,37948,36217,74162,1651,102,201,371,108,787,100,157,218,866,411,60,24,168,87,41,197,210,43,112,81,1370,80,659,710,333,15,49307,168,38,10465,61,52,0,9412,118,113,227,"10602",80,168,9463,165,19927,351,90,23226,182,212,26084,96,106,8417,17827,2656,283,1190,110,182,463,75,185,9,8262,1612,3672,21,2248,15,1062,0,17694,0,9434,59,307,5435,28,641,2777,"Maitland",88
11,14,18,11,58,8641,104,8,48,12,9,24,11,18566,9927,203,84,119,1915,36092,35289,71381,1554,168,317,259,100,697,152,121,139,854,295,54,22,156,68,31,148,150,37,182,58,1531,61,751,781,494,16,45081,119,42,7991,90,88,5,9451,105,83,183,"10603",12,20,7449,54,15442,115,6,21461,64,158,23614,75,79,8597,18043,3283,298,1257,121,212,510,95,209,23,8506,1635,3545,46,2366,25,1113,0,18283,4,9781,61,413,6754,39,911,3467,"Port Stephens",96
0,7,0,0,48,2785,85,3,35,7,0,21,13,6048,3263,78,33,41,623,14984,15216,30196,434,12,35,59,40,219,20,27,36,222,64,18,13,61,4,3,36,23,0,36,13,304,12,145,159,51,13,20579,20,24,3805,16,13,0,5069,30,38,54,"10604",0,0,3795,45,7600,95,0,10009,45,62,10574,25,26,4693,9759,1405,80,415,68,68,147,51,117,11,2735,498,1124,14,832,10,423,0,5961,0,3217,24,41,3149,12,92,1746,"Upper Hunter",30
10,83,14,38,915,8376,1799,47,881,10,7,17,12,18029,9656,241,106,137,1409,38356,37002,75354,2699,2085,4126,274,123,1344,2036,115,156,1350,199,86,31,210,123,58,96,104,68,328,68,594,74,254,341,396,19,48851,144,50,10675,176,155,4,7606,83,69,175,"10701",48,95,9923,111,20599,223,51,23133,109,131,25720,58,87,6471,14079,2705,415,945,184,268,683,120,308,4,8223,1116,2523,14,1739,6,794,0,17739,4,9519,59,360,5516,49,761,2807,"Dapto - Port Kembla",112
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,"10702",0,0,4,0,7,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Illawarra Catchment Reserve",0
