sa2_name16, median_tot_hhd_inc_weekly, median_age_persons, median_mortgage_repay_monthly, median_rent_weekly, average_num_psns_per_bedroom, sa2_main16, median_tot_fam_inc_weekly, average_household_size, median_tot_prsnl_inc_weekly
"Singleton Region",1693,42,2000,250,0.8,"106011113",1921,2.8,631
"Maitland",1421,35,1800,350,0.8,"106021114",1697,2.6,644
"Maitland - East",1298,38,1733,300,0.8,"106021115",1604,2.5,628
"Maitland - North",1840,38,2000,350,0.8,"106021116",2139,2.8,748
"Maitland - West",1376,34,1733,330,0.8,"106021117",1576,2.7,614
"Thornton - Millers Forest",1733,34,1760,340,0.8,"106021118",1858,2.9,716
"Anna Bay",1159,46,1850,350,0.8,"106031119",1402,2.5,528
"Lemon Tree Passage - Tanilba Bay",971,48,1517,320,0.7,"106031120",1174,2.4,481
"Nelson Bay Peninsula",1101,52,1733,330,0.7,"106031121",1357,2.3,563
"Raymond Terrace",1087,37,1470,270,0.8,"106031122",1320,2.5,554
"Seaham - Woodville",1875,42,1950,300,0.8,"106031123",1996,3.0,700
"Tea Gardens - Hawks Nest",910,61,1517,295,0.7,"106031124",1086,2.0,488
"Williamtown - Medowie - Karuah",1485,39,1733,320,0.8,"106031125",1706,2.8,652
"Muswellbrook",1334,34,1651,250,0.7,"106041126",1640,2.5,641
"Muswellbrook Region",1376,39,1935,230,0.8,"106041127",1737,2.6,667
"Scone",1332,39,1800,250,0.7,"106041128",1751,2.4,686
"Scone Region",1176,42,1517,190,0.8,"106041129",1488,2.4,600
"Dapto - Avondale",1216,40,1733,320,0.8,"107011131",1455,2.6,542
"Horsley - Kembla Grange",1835,34,1950,408,0.8,"107011132",1920,3.1,699
"Port Kembla Industrial",0,52,0,0,0.0,"107011133",0,0.0,225
"Unanderra - Mount Kembla",1516,40,1875,293,0.8,"107011134",1861,2.8,600
"Calwell",2219,35,2000,385,0.8,"801071073",2450,2.8,994
"Dubbo - South",1324,37,1517,275,0.8,"105031101",1637,2.4,702
"Dubbo - West",1280,35,1464,270,0.8,"105031102",1491,2.6,685
"Dubbo Region",1482,42,1632,200,0.8,"105031103",1707,2.8,682
"Gilgandra",990,46,1083,160,0.7,"105031104",1202,2.4,541
"Windang - Primbee",899,50,1733,270,0.8,"107011547",1384,2.2,495
"Illawarra Catchment Reserve",0,67,0,0,0.0,"107021135",0,0.0,374
"Albion Park - Macquarie Pass",1693,35,1950,385,0.8,"107031136",1830,3.0,646
"Albion Park Rail",1199,39,1695,320,0.8,"107031137",1364,2.6,548
"Cranbourne North",1589,31,1752,345,0.9,"212031302",1662,3.2,668
"Kiama",1325,50,1993,397,0.8,"107031138",1648,2.3,651
"Kiama Downs - Minnamurra",1775,42,2000,400,0.8,"107031139",1957,2.8,708
"Kiama Hinterland - Gerringong",1580,46,2115,400,0.8,"107031140",1895,2.6,698
"Shellharbour - Flinders",1808,37,2167,420,0.8,"107031141",1972,3.0,691
"Shellharbour - Oak Flats",1294,42,1733,350,0.8,"107031142",1488,2.6,563
"Old Bar - Manning Point - Red Head",1041,50,1625,300,0.7,"108051168",1238,2.4,521
"Taree",851,45,1299,240,0.8,"108051169",1097,2.3,472
"Warilla",987,42,1647,300,0.8,"107031143",1223,2.5,487
"Balgownie - Fairy Meadow",1297,39,2001,330,0.8,"107041144",1726,2.5,544
"Corrimal - Tarrawanna - Bellambi",1151,40,1950,280,0.8,"107041145",1557,2.4,572
"Taree Region",887,53,1300,245,0.8,"108051170",1078,2.3,455
"Wingham",912,47,1244,250,0.8,"108051171",1150,2.4,476
"Albury - East",1483,34,1625,280,0.8,"109011172",1824,2.6,723
"Murray",1689,40,1700,260,0.8,"509031248",1981,2.5,1111
"Figtree - Keiraville",1467,36,2000,340,0.8,"107041146",1899,2.7,587
"Helensburgh",2153,38,2286,470,0.9,"107041147",2324,3.0,831
"Thirroul - Austinmer - Coalcliff",2005,42,2383,450,0.9,"107041148",2302,2.7,814
"Wollongong - East",1228,36,1800,355,0.9,"107041548",1693,1.9,651
"Corowa Region",1048,49,1300,200,0.7,"109031181",1315,2.3,568
"Deniliquin",1053,45,1083,195,0.7,"109031182",1385,2.2,598
"Wollongong - West",1207,33,1842,330,0.9,"107041549",1603,2.5,495
"Bulahdelah - Stroud",982,49,1365,225,0.8,"108011151",1183,2.4,474
"Forster",879,54,1517,280,0.7,"108011152",1094,2.1,489
"Forster-Tuncurry Region",936,51,1300,280,0.8,"108011153",1099,2.4,480
"Tuncurry",757,61,1300,250,0.7,"108011154",944,1.9,454
"Kempsey",887,42,1235,230,0.8,"108021155",1097,2.5,472
"Kempsey Region",918,51,1300,225,0.8,"108021156",1147,2.4,472
"Macksville - Scotts Head",924,49,1300,260,0.8,"108021157",1160,2.3,490
"Nambucca Heads",757,56,1257,250,0.8,"108021158",963,2.0,454
"Nambucca Heads Region",930,48,1300,230,0.8,"108021159",1139,2.4,473
"South West Rocks",880,57,1500,280,0.7,"108021160",1071,2.1,479
"Lord Howe Island",1416,51,1867,220,0.8,"108031161",1774,2.2,827
"Laurieton - Bonny Hills",910,54,1517,300,0.7,"108041162",1139,2.2,483
"Port Macquarie - East",1152,46,1733,333,0.8,"108041163",1417,2.3,602
"Port Macquarie - West",958,50,1733,320,0.8,"108041164",1273,2.2,534
"Port Macquarie Region",1172,47,1517,250,0.8,"108041165",1372,2.6,530
"Wauchope",1106,43,1600,300,0.8,"108041166",1290,2.6,531
"Gloucester",903,52,1300,220,0.7,"108051167",1121,2.2,480
"Albury - North",1116,39,1300,231,0.8,"109011173",1402,2.4,600
"Albury - South",1221,44,1517,220,0.7,"109011174",1780,2.1,739
"Albury Region",1237,43,1300,180,0.8,"109011175",1522,2.6,617
"Lavington",931,40,1300,210,0.8,"109011176",1242,2.2,542
"Hay",1086,46,973,145,0.7,"109021177",1353,2.3,601
"Wentworth - Buronga",1038,45,1200,173,0.8,"109021178",1309,2.4,533
"Wentworth-Balranald Region",1129,44,953,130,0.8,"109021179",1403,2.5,669
"Corowa",998,49,1246,200,0.7,"109031180",1296,2.2,566
"Moree",1188,40,1300,195,0.8,"110031195",1459,2.4,657
"Moree Region",1279,38,975,100,0.8,"110031196",1528,2.6,688
"Narrabri",1300,40,1517,230,0.8,"110031197",1609,2.5,674
"Narrabri Region",1183,42,1213,140,0.8,"110031198",1485,2.5,619
"Cranbourne South",1861,37,2080,350,0.8,"212031303",1990,2.9,739
"Gunnedah",1255,38,1517,250,0.8,"110041199",1616,2.4,631
"Gunnedah Region",1243,43,1213,198,0.8,"110041200",1451,2.5,645
"Quirindi",1033,45,1152,180,0.7,"110041201",1287,2.3,539
"Tamworth - East",1183,38,1456,270,0.8,"110041202",1454,2.4,651
"Tamworth - North",1227,39,1517,285,0.7,"110041203",1572,2.3,682
"Tamworth - West",985,30,1378,250,0.8,"110041204",1170,2.7,561
"Tamworth Region",1170,44,1517,200,0.8,"110041205",1442,2.5,591
"Belmont - Bennetts Green",1278,43,1839,320,0.8,"111011206",1652,2.5,602
"Belmont South - Blacksmiths",1007,47,1733,285,0.8,"111011207",1325,2.3,525
"Charlestown - Dudley",1397,39,1800,340,0.8,"111011208",1740,2.5,665
"Cranbourne West",1561,30,1733,336,0.9,"212031304",1600,3.1,705
"Glendale - Cardiff - Hillsborough",1443,38,1733,340,0.8,"111011209",1754,2.6,660
"Mount Hutton - Windale",960,40,1733,200,0.8,"111011210",1284,2.4,486
"Redhead",1281,45,2037,365,0.8,"111011211",1877,2.4,635
"Swansea - Caves Beach",1166,47,1842,310,0.8,"111011212",1473,2.4,544
"Valentine - Eleebana",1817,44,2000,420,0.7,"111011213",2091,2.7,723
"Warners Bay - Boolaroo",1321,43,1800,350,0.8,"111011214",1714,2.4,638
"Bolton Point - Teralba",1150,43,1517,276,0.8,"111021215",1373,2.5,538
"Bonnells Bay - Silverwater",1239,42,1706,350,0.8,"111021216",1434,2.6,578
"Griffith (NSW)",1302,36,1500,230,0.8,"113011256",1533,2.6,684
"Edgeworth - Cameron Park",1605,34,1876,390,0.8,"111021217",1781,2.8,675
"Morisset - Cooranbong",1114,46,1733,315,0.8,"111021218",1383,2.5,517
"Toronto - Awaba",1198,46,1701,300,0.8,"111021219",1480,2.4,566
"Wangi Wangi - Rathmines",1295,47,1733,325,0.8,"111021220",1501,2.5,608
"West Wallsend - Barnsley - Killingworth",1382,37,1690,335,0.8,"111021221",1495,2.8,619
"Griffith Region",1309,39,1168,150,0.8,"113011257",1562,2.6,679
"Leeton",1196,38,1300,200,0.7,"113011258",1467,2.5,613
"Narrandera",1008,44,1000,170,0.7,"113011259",1333,2.3,571
"Adamstown - Kotara",1545,38,1950,350,0.8,"111031222",1969,2.6,708
"Beresfield - Hexham",1041,40,1373,280,0.8,"111031223",1240,2.5,512
"Tumbarumba",1133,46,1192,170,0.7,"113021260",1366,2.3,595
"Tumut",1080,42,1361,200,0.8,"113021261",1392,2.3,570
"Tumut Region",1178,46,1300,150,0.8,"113021262",1497,2.4,614
"Cootamundra",923,49,1092,190,0.7,"113031263",1232,2.2,529
"Gundagai",1086,44,1170,160,0.7,"113031264",1394,2.4,569
"Junee",1137,39,1200,200,0.8,"113031265",1407,2.5,597
"Temora",1002,46,1083,160,0.8,"113031266",1303,2.4,536
"Wagga Wagga - East",1429,38,1530,280,0.7,"113031267",1741,2.6,724
"Wagga Wagga - North",1676,24,1733,350,0.8,"113031268",1950,2.8,483
"Hamilton - Broadmeadow",1298,39,2000,310,0.8,"111031224",1880,2.3,675
"Waratah - North Lambton",1194,36,1733,330,0.9,"111031234",1536,2.3,587
"West Pennant Hills",2812,41,2770,630,0.8,"115011296",2876,3.3,872
"Lambton - New Lambton",1471,40,1842,330,0.8,"111031225",1978,2.4,721
"Maryland - Fletcher - Minmi",1796,33,1950,395,0.8,"111031226",1925,3.0,704
"Kingscliff - Fingal Head",1198,46,2100,365,0.9,"112031250",1593,2.4,608
"Murwillumbah",956,45,1560,290,0.8,"112031251",1245,2.4,495
"Murwillumbah Region",1107,47,1600,285,0.9,"112031252",1288,2.6,513
"Pottsville",1184,43,1771,370,0.8,"112031253",1414,2.6,558
"Tweed Heads",960,51,1600,320,0.8,"112031254",1235,2.2,522
"Banora Point",1112,49,1733,360,0.8,"112031550",1346,2.4,542
"Terranora - North Tumblegum",1662,41,2000,450,0.8,"112031551",1800,3.0,624
"Tweed Heads South",794,57,1560,340,0.8,"112031552",1092,2.1,471
"Mayfield - Warabrook",1233,37,1700,325,0.9,"111031227",1594,2.3,617
"Merewether - The Junction",1807,39,2167,360,0.8,"111031228",2444,2.4,872
"Newcastle - Cooks Hill",1654,38,2000,380,0.9,"111031229",2370,2.0,973
"Newcastle Port - Kooragang",1312,41,1972,0,1.0,"111031230",1375,1.6,762
"Shortland - Jesmond",993,26,1517,325,0.9,"111031231",1226,2.5,391
"Stockton - Fullerton Cove",1164,51,2000,330,0.8,"111031232",1489,2.3,595
"Castle Hill - West",2847,37,2600,650,0.8,"115011557",2842,3.4,863
"Wallsend - Elermore Vale",1188,40,1691,330,0.8,"111031233",1485,2.4,579
"Galston - Laughtondale",1921,44,2600,430,0.8,"115021298",2216,3.0,738
"Bilpin - Colo - St Albans",1329,46,1975,180,0.9,"115031299",1696,2.5,639
"Kurrajong Heights - Ebenezer",1960,39,2167,390,0.8,"115031300",2074,3.0,775
"Pitt Town - McGraths Hill",2020,38,2398,400,0.9,"115041301",2170,3.1,787
"Rouse Hill - Beaumont Hills",2607,34,2626,620,0.9,"115041302",2615,3.5,893
"Wickham - Carrington - Tighes Hill",1407,36,1733,360,0.9,"111031235",1813,2.1,743
"Ballina",968,52,1582,320,0.7,"112011236",1260,2.1,556
"Ballina Region",1245,46,1733,330,0.8,"112011237",1480,2.5,610
"Bangalow",1356,45,1800,400,0.9,"112011238",1575,2.5,657
"Brunswick Heads - Ocean Shores",1032,46,1733,380,0.8,"112011239",1268,2.3,564
"Byron Bay",1323,42,2000,500,0.8,"112011240",1593,2.4,660
"Evans Head",946,52,1387,265,0.8,"112011241",1211,2.2,498
"Lennox Head - Skennars Head",1515,44,1950,455,0.8,"112011242",1773,2.6,695
"Mullumbimby",974,46,1600,350,0.9,"112011243",1227,2.4,512
"Casino",915,42,1300,241,0.8,"112021244",1168,2.4,495
"Casino Region",990,47,1213,200,0.8,"112021245",1168,2.5,471
"Goonellabah",1102,40,1517,275,0.7,"112021246",1363,2.4,574
"Kyogle",840,50,1181,200,0.8,"112021247",1096,2.2,463
"Lismore",952,41,1300,250,0.8,"112021248",1275,2.3,516
"Lismore Region",1162,46,1517,265,0.8,"112021249",1423,2.5,565
"Wagga Wagga - South",1353,34,1517,275,0.8,"113031269",1695,2.6,681
"Wagga Wagga - West",1110,34,1387,250,0.8,"113031270",1445,2.2,685
"Wagga Wagga Region",1345,38,1300,200,0.8,"113031271",1577,2.6,699
"Berry - Kangaroo Valley",1150,55,1816,300,0.7,"114011272",1485,2.2,599
"Callala Bay - Currarong",958,51,1517,325,0.7,"114011273",1114,2.4,483
"Culburra Beach",930,53,1517,277,0.7,"114011274",1148,2.2,497
"Ettrema - Sassafras - Budawang",1125,60,2084,0,0.7,"114011275",1499,1.8,780
"Huskisson - Vincentia",1181,52,1770,308,0.7,"114011276",1463,2.1,631
"North Nowra - Bomaderry",1133,43,1560,275,0.7,"114011277",1407,2.4,559
"Nowra",1029,37,1517,260,0.8,"114011278",1251,2.5,526
"St Georges Basin - Erowal Bay",895,49,1300,290,0.7,"114011279",1080,2.3,464
"Sussex Inlet - Berrara",779,59,1300,250,0.7,"114011280",972,2.0,453
"Tomerong - Wandandian - Woollamia",1397,45,1733,250,0.8,"114011281",1480,2.7,576
"Ulladulla",913,52,1473,290,0.7,"114011282",1130,2.2,491
"Ulladulla Region",967,53,1450,263,0.7,"114011283",1149,2.2,491
"Bowral",1360,53,2000,400,0.7,"114021284",1685,2.3,666
"Hill Top - Colo Vale",1561,37,1800,375,0.8,"114021285",1703,2.9,652
"Mittagong",1254,45,1820,349,0.7,"114021286",1606,2.4,617
"Moss Vale - Berrima",1239,43,1733,320,0.7,"114021287",1599,2.4,630
"Robertson - Fitzroy Falls",1490,47,2000,350,0.7,"114021288",1734,2.5,705
"Southern Highlands",1262,51,1800,300,0.7,"114021289",1517,2.4,640
"Baulkham Hills (East)",2025,38,2297,510,0.9,"115011290",2210,2.9,794
"Baulkham Hills (West) - Bella Vista",2441,38,2500,585,0.8,"115011291",2526,3.3,795
"Glenhaven",2234,45,2610,648,0.8,"115011294",2510,3.0,790
"Castle Hill - Central",2076,38,2383,545,0.9,"115011553",2241,2.9,828
"Prahran - Windsor",1839,33,2167,400,1.0,"206061136",2530,1.9,1077
"Castle Hill - East",1686,51,2383,462,0.8,"115011554",2507,2.7,646
"Castle Hill - North",2341,41,2600,580,0.8,"115011555",2486,3.1,791
"Blacktown (South)",1478,35,1950,385,0.9,"116011560",1620,3.0,621
"Castle Hill - South",2175,38,2500,550,0.9,"115011556",2277,3.0,806
"Collingwood",1694,32,2171,400,1.1,"206071141",2200,2.0,960
"Cherrybrook",2441,42,2500,650,0.8,"115011558",2599,3.2,765
"Kellyville",2522,35,2600,620,0.8,"115011559",2560,3.4,863
"Dural - Kenthurst - Wisemans Ferry",2181,42,2555,450,0.8,"115021297",2328,3.2,745
"Blacktown (East) - Kings Park",1478,32,1900,380,1.1,"116011303",1570,2.8,664
"Blacktown (North) - Marayong",1458,34,2000,380,0.9,"116011304",1606,3.0,609
"Doonside - Woodcroft",1741,34,2167,345,0.9,"116011306",1800,3.3,654
"Lalor Park - Kings Langley",1659,37,2058,365,0.9,"116011307",1904,2.8,698
"Seven Hills - Toongabbie",1645,36,2145,400,0.9,"116011308",1775,3.0,656
"Hadfield",1128,38,1625,315,0.9,"210031440",1362,2.6,485
"Blacktown (West)",1553,34,1950,400,1.0,"116011561",1662,3.1,617
"Glenwood",2476,34,2400,570,0.9,"116021309",2418,3.6,779
"Sunbury",1706,38,1609,315,0.8,"210041240",1903,2.9,687
"Sunbury - South",1506,36,1600,315,0.8,"210041241",1803,2.6,698
"Parklea - Kellyville Ridge",2488,33,2600,600,0.9,"116021310",2512,3.4,952
"Riverstone - Marsden Park",1924,33,2600,420,0.9,"116021312",2065,3.0,766
"Acacia Gardens",2379,34,2383,520,0.9,"116021562",2368,3.4,902
"Fitzroy",1708,34,2300,400,1.0,"206071142",2223,2.1,902
"Quakers Hill",2059,33,2167,450,0.9,"116021563",2129,3.2,803
"Hughesdale",1686,35,2000,395,0.9,"208021180",2073,2.6,699
"Bidwill - Hebersham - Emerton",1066,31,1528,265,1.0,"116031313",1157,3.1,473
"Glendenning - Dean Park",1795,32,1983,400,1.0,"116031314",1806,3.4,696
"Hassall Grove - Plumpton",1844,31,2000,400,1.0,"116031315",1839,3.5,689
"Lethbridge Park - Tregear",1257,30,2013,300,0.9,"116031316",1374,3.0,551
"Mount Druitt - Whalan",1198,32,1719,330,1.1,"116031317",1298,3.1,486
"Prospect Reservoir",0,44,0,0,0.0,"116031318",0,0.0,1329
"Rooty Hill - Minchinbury",1815,35,2000,400,1.0,"116031319",1847,3.4,664
"Banksmeadow",0,58,0,0,0.0,"117011320",0,0.0,849
"Port Botany Industrial",0,45,0,0,0.0,"117011324",0,0.0,1042
"Botany",2027,36,2600,520,1.1,"117011321",2290,2.8,893
"Wendouree - Miners Rest",956,38,1300,220,0.8,"201011008",1234,2.3,509
"Bacchus Marsh Region",1363,43,1568,250,0.8,"201021009",1631,2.6,626
"Mascot - Eastlakes",1595,34,2340,520,1.2,"117011322",1820,2.6,695
"Dulwich Hill - Lewisham",1830,37,2200,450,1.0,"120031394",2283,2.3,915
"Pagewood - Hillsdale - Daceyville",1333,37,2300,400,1.0,"117011323",1717,2.6,643
"Petersham - Stanmore",2055,35,2600,460,1.0,"117021327",2618,2.3,1032
"Sydney Airport",0,53,0,0,0.0,"117011325",0,0.0,1103
"Sydney - Haymarket - The Rocks",1916,33,2500,725,1.4,"117031337",1960,2.4,775
"Normanhurst - Thornleigh - Westleigh",2296,40,2500,510,0.9,"121021406",2585,3.0,814
"Creswick - Clunes",993,47,1213,200,0.8,"201021010",1272,2.3,505
"Marrickville",1804,36,2383,450,1.1,"117021326",2094,2.5,791
"Maroubra - West",1660,33,2500,600,1.1,"118021568",2057,2.7,701
"Daylesford",1022,50,1350,270,0.8,"201021011",1311,2.2,555
"Gordon (Vic.)",1325,44,1495,190,0.8,"201021012",1603,2.6,600
"Avoca",789,52,932,150,0.7,"201031013",1056,2.2,456
"Beaufort",958,48,1121,170,0.8,"201031014",1207,2.3,493
"Sydenham - Tempe - St Peters",2084,36,2600,580,1.0,"117021328",2357,2.6,921
"Darlinghurst",2147,36,2500,560,1.1,"117031329",3095,1.8,1247
"Golden Plains - North",1118,43,1300,195,0.8,"201031015",1329,2.5,510
"Erskineville - Alexandria",2444,34,2500,600,1.1,"117031330",2955,2.1,1353
"Randwick - North",2180,35,2600,560,1.1,"118021569",2744,2.3,1145
"Glebe - Forest Lodge",1802,33,2600,508,1.1,"117031331",2572,2.0,942
"Waitara - Wahroonga (West)",1837,36,2167,510,1.1,"121021579",2147,2.6,813
"Newtown - Camperdown - Darlington",1885,30,2600,500,1.1,"117031332",2730,2.1,891
"Gordon - Killara",2426,40,3000,650,0.9,"121031407",2769,2.9,876
"Lindfield - Roseville",2752,39,3000,620,0.9,"121031408",3250,3.0,990
"Pymble",3002,39,3000,670,0.9,"121031409",3337,3.1,977
"St Ives",2537,42,3000,700,0.8,"121031410",2872,3.0,925
"Turramurra",2452,44,3000,600,0.8,"121031411",2977,2.8,908
"Wahroonga (East) - Warrawee",2803,42,3000,610,0.8,"121031412",3242,3.0,934
"Cremorne - Cammeray",2379,39,2647,591,1.0,"121041413",3334,2.2,1344
"Crows Nest - Waverton",2361,36,2600,570,1.0,"121041414",3126,2.1,1368
"Mosman",2507,42,3000,560,0.9,"121041415",3671,2.4,1282
"Neutral Bay - Kirribilli",2262,38,2500,540,1.0,"121041416",3176,1.9,1361
"Point Cook - South",2104,31,2032,380,0.8,"213051466",2125,3.3,875
"Potts Point - Woolloomooloo",1852,35,2167,480,1.1,"117031333",2903,1.6,1316
"Bayview - Elanora Heights",2122,47,3000,600,0.8,"122021421",2484,2.8,851
"Newport - Bilgola",2162,43,2817,560,0.9,"122021422",2482,2.8,903
"Warriewood - Mona Vale",2066,41,2756,620,0.9,"122021423",2355,2.8,854
"Mildura Region",1021,46,900,100,0.7,"215021398",1336,2.3,569
"Red Cliffs",1078,41,1083,190,0.8,"215021399",1337,2.5,539
"Mildura - North",976,39,1127,220,0.8,"215021469",1243,2.3,536
"Pyrmont - Ultimo",1939,31,2400,600,1.2,"117031334",2366,2.2,770
"Katoomba - Leura",1048,48,1560,310,0.7,"124011452",1435,2.1,576
"Lawson - Hazelbrook - Linden",1457,42,1733,350,0.8,"124011453",1766,2.6,665
"Springwood - Winmalee",1728,42,1950,370,0.8,"124011454",2055,2.7,746
"Blackburn South",1508,41,2000,351,0.8,"207031162",1964,2.7,608
"Redfern - Chippendale",1551,31,2492,531,1.1,"117031335",2307,2.0,792
"Surry Hills",2137,34,2500,550,1.1,"117031336",2944,1.9,1154
"Waterloo - Beaconsfield",1743,30,2300,580,1.2,"117031338",2272,2.2,859
"Bondi - Tamarama - Bronte",2377,34,3000,625,1.0,"118011339",2994,2.4,1166
"Bondi Beach - North Bondi",2344,34,3000,640,1.1,"118011340",2967,2.3,1220
"Emu Plains - Leonay",1858,38,2167,400,0.8,"124031459",2110,2.8,772
"Flora Hill - Spring Gully",1167,33,1400,260,0.8,"202011021",1544,2.3,591
"Kangaroo Flat - Golden Square",1058,39,1300,250,0.8,"202011022",1324,2.3,574
"Maiden Gully",1820,35,1700,330,0.8,"202011023",1945,3.1,717
"Strathfieldsaye",1850,37,1733,350,0.8,"202011024",2002,3.0,742
"Bondi Junction - Waverly",2143,37,3000,600,1.0,"118011341",2790,2.3,1068
"Centennial Park",0,0,0,0,0.0,"118011342",0,0.0,0
"Double Bay - Bellevue Hill",2660,39,3000,655,0.9,"118011343",3574,2.2,1390
"Dover Heights",2293,38,3000,600,1.0,"118011344",2879,2.6,1074
"Paddington - Moore Park",2386,36,3200,570,1.0,"118011345",3597,2.1,1382
"Rose Bay - Vaucluse - Watsons Bay",2889,41,3467,650,0.9,"118011346",3603,2.7,1147
"Surrey Hills (East) - Mont Albert",2139,39,2300,410,0.9,"207031167",2685,2.6,855
"Woollahra",2537,41,3100,660,0.9,"118011347",3662,2.2,1369
"Coogee - Clovelly",2334,36,3000,585,1.0,"118021348",3009,2.4,1189
"Malabar - La Perouse - Chifley",1765,41,2600,410,1.0,"118021350",2204,2.7,734
"Brighton East",2175,43,2500,508,0.8,"208011170",2724,2.7,847
"Kensington (NSW)",1632,26,2600,510,1.1,"118021564",2197,2.4,488
"Kingsford",1373,27,2500,520,1.1,"118021565",2000,2.7,479
"Dickson",1740,34,2000,366,0.9,"801051054",2350,2.3,1013
"Maroubra - North",2066,39,2735,580,1.0,"118021566",2466,2.7,865
"Maroubra - South",1525,38,2600,450,1.0,"118021567",2140,2.3,757
"Randwick - South",2142,34,2700,561,1.1,"118021570",2674,2.4,1018
"Jamisontown - South Penrith",1493,36,1950,370,0.8,"124031461",1769,2.6,714
"Kingswood - Werrington",1409,33,1900,340,0.9,"124031462",1649,2.7,669
"Bass Hill - Georges Hall",1196,36,2167,300,1.0,"119011354",1387,3.1,476
"Mulgoa - Luddenham - Orchard Hills",2230,34,2500,480,0.8,"124031463",2278,3.2,835
"White Hills - Ascot",1387,32,1517,290,0.8,"202011025",1551,2.7,677
"Bendigo Region - South",1579,40,1600,260,0.8,"202021026",1755,2.8,693
"Chullora",1979,30,2700,550,1.0,"119011355",1944,3.3,775
"Bankstown - South",1124,34,1733,397,1.2,"119011572",1171,3.2,440
"Condell Park",1385,33,2167,450,1.0,"119011356",1433,3.4,491
"St Clair",1858,34,1985,410,0.9,"124051470",1912,3.1,747
"Greenacre - Mount Lewis",1182,33,2100,369,1.1,"119011357",1329,3.4,436
"Rookwood Cemetery",0,0,0,0,0.0,"125011475",0,0.0,0
"Kilmore - Broadford",1321,39,1508,280,0.8,"204011056",1556,2.6,607
"Mansfield (Vic.)",1101,42,1365,240,0.7,"204011057",1340,2.3,654
"Nagambie",1058,49,1300,220,0.8,"204011058",1393,2.2,570
"Seymour",978,45,1192,200,0.8,"204011059",1253,2.3,539
"Seymour Region",1516,36,1517,250,0.8,"204011060",1686,2.7,745
"Upper Yarra Valley",747,48,997,175,0.8,"204011061",1291,1.9,464
"Yea",1002,50,1343,240,0.8,"204011062",1277,2.2,538
"Benalla",907,48,1172,200,0.7,"204021063",1205,2.1,541
"Benalla Region",1114,48,1287,160,0.8,"204021064",1317,2.4,534
"Padstow",1535,40,2167,420,0.9,"119011358",1838,2.8,627
"Rutherglen",1140,46,1300,200,0.7,"204021065",1447,2.3,615
"Wangaratta",1026,43,1300,220,0.7,"204021066",1355,2.3,588
"Wangaratta Region",1209,46,1343,160,0.8,"204021067",1449,2.5,620
"Panania - Milperra - Picnic Point",1759,38,2300,430,0.9,"119011359",2021,2.9,694
"Drouin",1168,39,1500,269,0.8,"205011076",1405,2.5,566
"Mount Baw Baw Region",1204,46,1400,195,0.8,"205011077",1454,2.5,585
"Trafalgar (Vic.)",1220,42,1361,250,0.8,"205011078",1483,2.5,596
"Warragul",1210,41,1473,250,0.8,"205011079",1523,2.5,596
"Alps - East",0,0,0,0,0.0,"205021080",0,0.0,0
"Bairnsdale",986,43,1300,240,0.7,"205021081",1262,2.3,566
"Bruthen - Omeo",1087,47,1243,162,0.8,"205021082",1273,2.4,534
"Lake King",0,0,0,0,0.0,"205021083",0,0.0,0
"Lakes Entrance",897,52,1300,225,0.7,"205021084",1133,2.2,493
"Revesby",1568,38,2167,410,0.9,"119011360",1804,2.9,623
"Orbost",774,53,1037,150,0.7,"205021085",1066,2.1,461
"Paynesville",917,57,1200,250,0.7,"205021086",1145,2.1,492
"Foster",916,51,1170,185,0.7,"205031087",1205,2.2,498
"French Island",477,56,493,150,0.7,"205031088",843,1.9,407
"Yagoona - Birrong",1223,34,1996,380,1.1,"119011361",1353,3.2,466
"Berala",1317,34,1733,375,1.1,"125011585",1313,3.2,473
"Korumburra",1075,44,1322,220,0.8,"205031089",1334,2.5,538
"Leongatha",1129,44,1360,230,0.8,"205031090",1401,2.4,565
"Phillip Island",956,49,1400,260,0.7,"205031091",1208,2.2,539
"Wilsons Promontory",2124,39,0,125,0.0,"205031092",0,0.0,1312
"Bankstown - North",1118,32,1700,400,1.2,"119011571",1198,3.0,466
"Narwee - Beverly Hills",1416,39,2167,390,1.0,"119031370",1612,2.8,555
"Belmore - Belfield",1260,37,2141,360,1.1,"119021362",1439,2.9,519
"Canterbury (South) - Campsie",1284,34,1950,395,1.2,"119021363",1334,2.9,502
"Kingsgrove (North) - Earlwood",1753,41,2456,500,0.9,"119021364",1971,2.9,657
"Oatley - Hurstville Grove",2089,40,2500,460,0.9,"119031371",2297,2.9,779
"Peakhurst - Lugarno",1732,42,2362,450,0.9,"119031372",2049,2.9,678
"Wonthaggi - Inverloch",915,48,1300,240,0.7,"205031093",1181,2.2,502
"Churchill",1259,40,1300,200,0.8,"205041094",1511,2.5,549
"Moe - Newborough",871,43,1083,170,0.8,"205041095",1225,2.2,485
"Morwell",809,43,953,180,0.7,"205041096",1092,2.1,472
"Traralgon",1303,38,1352,240,0.8,"205041097",1663,2.4,644
"Yallourn North - Glengarry",1367,39,1300,200,0.8,"205041098",1671,2.6,608
"Alps - West",850,51,0,0,0.6,"205051099",0,1.0,624
"Longford - Loch Sport",951,48,1265,180,0.7,"205051100",1312,2.3,528
"Maffra",1126,42,1253,200,0.8,"205051101",1391,2.4,568
