sa2_name16, median_tot_hhd_inc_weekly, median_age_persons, median_mortgage_repay_monthly, median_rent_weekly, average_num_psns_per_bedroom, sa2_main16, median_tot_fam_inc_weekly, average_household_size, median_tot_prsnl_inc_weekly
"Mount Johns",2063,38,1836,330,0.9,"702011049",2515,2.3,1138
"Petermann - Simpson",1302,41,1100,130,1.3,"702011050",1299,2.2,761
"Ross",1447,48,2167,210,1.1,"702011051",2173,2.5,699
"Yuendumu - Anmatjere",1230,29,1040,55,1.5,"702011054",792,4.3,288
"Sandover - Plenty",1084,29,1300,28,1.6,"702011052",665,4.0,284
"Nhulunbuy",2331,32,1679,6,1.0,"702041064",2676,2.8,1291
"Elsey",1163,38,1439,90,1.7,"702051065",685,3.8,390
"Gulf",1077,30,1364,40,1.9,"702051066",659,4.5,334
"Katherine",1686,37,1733,249,1.0,"702051067",2074,2.8,876
"Victoria River",1067,27,759,41,1.4,"702051068",697,3.8,377
"Tanami",1148,32,0,40,1.5,"702011053",630,4.2,354
"Aranda",2385,40,2239,415,0.8,"801011001",2903,2.7,1186
"Barkly",1107,30,1018,50,1.4,"702021055",804,3.9,398
"Tennant Creek",1551,36,1200,175,1.0,"702021056",1592,2.7,644
"Alligator",1301,46,1500,70,1.1,"702031057",1564,2.3,709
"Daly",1147,32,1474,50,1.4,"702031058",813,3.4,447
"Thamarrurr",1060,25,414,59,2.0,"702031059",581,5.3,239
"Tiwi Islands",786,31,0,50,1.4,"702031060",644,3.8,251
"West Arnhem",1290,27,0,50,2.0,"702031061",633,5.1,251
"Anindilyakwa",2483,30,0,60,1.4,"702041062",2634,3.9,1268
"East Arnhem",1364,25,0,70,1.9,"702041063",644,5.4,241
"Belconnen",1591,30,1733,360,1.1,"801011002",1920,1.9,842
"Bruce",1919,27,1942,375,1.0,"801011003",2456,2.3,780
"Charnwood",1486,34,1798,300,0.8,"801011004",1848,2.5,751
"Cook",1945,41,2000,385,0.7,"801011005",2532,2.3,1026
"Dunlop",2250,33,2058,400,0.8,"801011006",2483,3.0,1043
"Florey",1738,37,1950,350,0.8,"801011008",2134,2.6,821
"Evatt",2052,37,2000,381,0.8,"801011007",2339,2.7,963
"Hawker",2022,40,2100,320,0.8,"801011013",2503,2.6,1038
"Flynn (ACT)",2265,38,2058,400,0.8,"801011009",2517,2.8,1008
"Fraser",2266,40,2167,400,0.7,"801011010",2503,2.8,1033
"Giralang",2017,36,2000,420,0.8,"801011011",2300,2.7,940
"Gooromon",0,47,0,0,0.0,"801011012",0,0.0,3000
"Kaleen",2071,38,2000,421,0.8,"801011016",2345,2.8,854
"Latham",1854,36,2000,370,0.8,"801011017",2172,2.7,902
"Lawson",2437,28,3000,375,0.8,"801011018",2299,3.2,784
"Macgregor (ACT)",2061,32,2000,391,0.8,"801011019",2249,2.7,1041
"McKellar",2244,41,2075,380,0.7,"801011021",2562,2.8,916
"Forde",2938,32,2600,510,0.8,"801041038",3094,3.2,1321
"Melba",1950,38,2000,350,0.8,"801011022",2304,2.6,934
"Page",1506,39,1950,370,0.8,"801011023",2018,2.3,788
"Spence",1976,37,1976,350,0.8,"801011025",2190,2.7,902
"Canberra East",834,46,1517,200,0.9,"801031113",1571,1.6,725
"Bonner",2327,30,2200,430,0.9,"801041035",2394,3.3,1084
"Casey",2300,30,2201,421,0.8,"801041036",2462,2.8,1190
"Crace",2482,31,2496,380,0.9,"801041037",2745,2.8,1229
"Franklin",2111,30,2000,375,1.0,"801041039",2376,2.8,992
"Gungahlin",2064,31,2027,380,1.0,"801041040",2247,2.8,888
"Hall",2027,45,2167,350,0.8,"801041043",2550,2.5,893
"Harrison",2268,29,2040,367,1.0,"801041044",2458,2.9,1060
"Mitchell",0,0,0,0,0.0,"801041045",0,0.0,0
"Ngunnawal",1937,31,1950,380,0.8,"801041046",2193,2.6,958
"Throsby",0,0,0,0,0.0,"801041122",0,0.0,0
"Acton",0,20,0,0,0.0,"801051049",0,0.0,177
"Nicholls",2685,41,2167,430,0.8,"801041047",2908,3.0,1058
"Palmerston",2002,35,1950,380,0.8,"801041048",2322,2.7,888
"Ainslie",2020,41,2449,280,0.8,"801051050",3018,2.4,1016
"Gungahlin - East",0,0,0,0,0.0,"801041116",0,0.0,0
"Gungahlin - West",0,0,0,0,0.0,"801041117",0,0.0,0
"Jacka",1867,27,1733,325,0.9,"801041118",1974,3.0,993
"Kenny",0,17,0,0,0.0,"801041119",0,0.0,250
"Braddon",1974,30,2000,400,1.1,"801051051",2654,1.8,1187
"Moncrieff",2124,28,2242,0,0.8,"801041120",2124,2.9,900
"Civic",2208,27,2184,500,1.2,"801051053",3085,1.8,629
"Taylor",0,0,0,0,0.0,"801041121",0,0.0,0
"Hackett",2130,39,2383,320,0.8,"801051056",2763,2.5,1062
"Lyneham",1700,35,2000,365,0.9,"801051057",2287,2.1,974
"O'Connor (ACT)",2127,34,2167,380,0.9,"801051058",2861,2.5,1008
"Turner",1929,31,2030,400,1.1,"801051060",2466,2.0,1114
"Watson",1956,34,2044,368,0.9,"801051061",2453,2.4,1028
"Black Mountain",0,0,0,0,0.0,"801051123",0,0.0,0
"Campbell",2354,42,2568,358,0.8,"801051124",3444,2.4,1188
"Barton",2354,40,2037,490,1.0,"801061129",3157,1.8,1658
"Deakin",2540,45,2963,490,0.8,"801061062",3588,2.5,1320
"Forrest",3121,45,2610,500,0.8,"801061063",3767,2.3,1571
"Griffith (ACT)",2158,40,2200,380,0.8,"801061064",3083,2.1,1370
"Lake Burley Griffin",0,0,0,0,0.0,"801061066",0,0.0,0
"Narrabundah",2049,41,2167,380,0.8,"801061067",2679,2.3,1082
"Parkes (ACT) - South",0,57,0,0,0.0,"801061068",0,0.0,0
"Red Hill (ACT)",2819,41,3000,355,0.8,"801061069",3684,2.7,1154
"Yarralumla",2600,48,2700,450,0.7,"801061070",3451,2.4,1378
"Gowrie (ACT)",2223,38,2167,398,0.7,"801071079",2455,2.7,995
"Fyshwick",2249,37,0,0,1.0,"801061130",0,2.0,366
"Kingston (ACT)",2337,33,2167,450,0.9,"801061131",3027,1.8,1546
"Banks",2144,32,2000,375,0.8,"801071071",2335,2.8,1007
"Bonython",1966,36,1993,396,0.7,"801071072",2311,2.6,973
"Chisholm",2021,35,2000,355,0.8,"801071074",2291,2.7,913
"Conder",2222,35,2087,360,0.8,"801071075",2479,2.9,938
"Fadden",2754,43,2299,500,0.7,"801071076",3009,2.8,1185
"Gilmore",2159,35,2037,375,0.8,"801071077",2371,2.8,941
"Gordon (ACT)",1988,36,1950,370,0.8,"801071078",2323,2.7,949
"Greenway",1702,37,1655,410,0.9,"801071080",2142,2.0,1051
"Holder",2032,40,2015,400,0.7,"801081094",2493,2.5,1067
"Isabella Plains",1837,34,2000,381,0.8,"801071081",2125,2.7,915
"Kambah",1911,39,1950,345,0.7,"801071082",2258,2.6,913
"Macarthur",2675,39,2167,450,0.7,"801071083",2856,2.9,1126
"Rivett",1795,39,2043,320,0.7,"801081095",2246,2.5,905
"Monash",1976,43,1964,400,0.7,"801071084",2339,2.5,921
"Mount Taylor",0,50,0,0,0.0,"801071085",0,0.0,0
"Oxley (ACT)",2099,39,1950,330,0.8,"801071086",2380,2.7,938
"Richardson",1837,34,1900,328,0.8,"801071087",2061,2.7,862
"Theodore",2116,33,2037,370,0.8,"801071088",2382,2.8,973
"Tuggeranong",2250,46,0,148,0.5,"801071089",0,1.5,1062
"Stirling",1948,45,2000,300,0.7,"801081096",2303,2.6,870
"Wanniassa",1958,39,2000,350,0.8,"801071090",2294,2.6,932
"Waramanga",1875,40,2137,303,0.8,"801081097",2503,2.4,998
"Tuggeranong - West",0,24,0,0,0.0,"801071132",0,0.0,724
"Weston",2086,42,2167,370,0.7,"801081098",2550,2.5,1048
